Transcript_ID	X1after	X1before	X2after	X2before	X3after	X3before	X4after	X4before	X5after	X5before	X6after	X6before	X7after	X7before
ENST00000436911.6	5.1633819916	5.0480137995	4.7910430389	5.462791805	4.6610825868	5.3721546354	5.3030975891	6.293958979	5.2149795976	5.0001081981	5.1781688471	4.9798607249	4.5539748082	5.2627375709
ENST00000633705.1	8.3179416557	8.0941516005	8.5699657045	8.9694296936	8.0201632451	8.6756254219	8.0188900589	8.6841770387	8.1975509074	8.2704074668	8.5067360113	8.6186754805	8.085281238	8.8003207648
ENST00000390477.2	6.4039118823	6.7147538064	6.2791499593	7.1228693989	5.3423520656	6.073616751	6.3556100975	7.6451612383	5.4164378116	6.1851807058	5.9540357435	6.3232980046	6.6028621447	7.9038216067
ENST00000611116.1	9.3581083026	9.1149577884	8.8256012091	9.240059068	8.2447919416	8.7579866333	8.7892401856	9.3386985044	9.0812037931	8.8558962878	8.6173499144	8.5513698951	8.2570813553	8.8723793861
ENST00000622053.4	9.9828510089	9.9934903906	9.6186075794	10.088960451	8.9604016596	9.5513602812	9.2149019102	10.0470830034	9.7510167598	9.7506299511	9.4461031836	9.5070235435	8.9146990524	9.5611313503
ENST00000390565.1	5.0092083071	2.7237813374	3.8667101997	3.9960994553	3.8688348986	4.774939885	5.4035983589	4.711125926	4.9900245212	3.46555661	8.2143676956	7.8469758887	5.1385114187	4.4182574251
ENST00000390239.2	6.272241593	7.0843725909	7.5347230804	7.3252154947	7.6071157431	8.4730644093	8.2246287966	7.8178086984	7.2709493557	7.2025254691	7.3174578386	10.2311731701	4.7469254055	7.5146193834
ENST00000390240.2	5.3717783865	4.6793900162	7.1196881745	5.9917961871	5.8839384479	5.3437808848	5.8323102886	6.7718591746	6.8111370347	7.050523464	5.188175387	8.1487765299	3.9490773067	5.8100702995
ENST00000633501.1	9.2865762428	7.9785789091	8.1039172108	9.0202493809	8.5340499266	9.1933060443	10.7206632375	10.3602984266	9.3924483758	9.8928918747	13.0956178938	12.813540722	8.2514634744	9.2964138138
ENST00000631521.1	9.7997996681	8.9863682682	8.8138068389	9.2413349231	9.242414345	9.5587937758	10.5685831978	11.0796514441	10.6874806665	10.5709846448	12.9999524495	11.9408751477	9.2611781844	10.5077847315
ENST00000633896.1	7.468640333	6.7917229233	5.6772291476	7.8695383242	7.4639248393	7.8726010124	8.1762679125	8.1938752117	8.3088532115	8.8870256023	10.5521118906	10.0213547965	7.0633519346	8.000625408
ENST00000634062.1	5.0092083071	2.7237813374	3.8667101997	3.9960994553	3.8688348986	4.774939885	5.4035983589	4.711125926	4.9900245212	3.46555661	8.2143676956	7.8469758887	5.1385114187	4.4182574251
ENST00000390324.2	1.7233969182	3.0494722019	4.0849401639	4.4901593403	3.1192980696	4.2154456346	4.8735130157	5.0461898125	5.6684765764	4.5560921545	7.8617196915	7.8410170419	3.5639634713	4.4751043436
ENST00000390322.2	2.4819188778	3.2997135601	2.2979543902	3.7294657602	2.9478232272	3.5437309518	3.98494474	5.0644991968	4.9466560102	4.9403969994	6.223804798	6.5792993418	4.1739748878	5.7583298303
ENST00000390242.2	7.9567420486	8.2237073151	7.9821836134	9.1292984743	6.7908241574	7.7222952408	9.8767057124	8.9762232778	7.4785593164	8.5889432003	7.9119671534	10.6388793343	4.9490819771	8.4730359889
ENST00000390241.3	7.0092127868	6.5013881881	6.508252742	7.9101809942	6.1793936076	7.0356568978	8.5465588207	7.6374363612	7.0043440805	8.281137196	7.3987436919	8.7390582378	5.1130545085	8.2695054246
ENST00000390238.2	6.5941693145	6.2643506401	7.747716346	5.669868659	6.0538629065	7.2697812383	8.8767041778	7.2926989391	5.6305598213	7.050523464	7.1437811439	9.8512305773	4.9490819771	7.0324645575
ENST00000390547.3	7.3960995354	7.1306220407	7.3029587257	7.8239340155	7.1435464806	7.3278579916	8.4878038655	8.5579346307	9.3803917967	9.0338304228	11.655593331	11.7272610535	7.756289441	8.3045338575
ENST00000390556.6	4.411941402	4.853386913	4.4606115229	5.5172504931	3.5835551869	5.0034898028	3.4609260011	4.1195802837	4.5259185231	5.0048339378	3.546240084	3.9449427567	4.1899826538	5.2326492459
ENST00000613640.1	5.1217365682	5.6770486941	5.2601498911	5.982637704	4.5766007403	6.0291679408	4.4322178318	5.2319814559	5.3083099029	5.9731175892	4.3971937258	4.9843478177	5.1547978606	6.1564087523
ENST00000622473.2	7.3647912711	7.1218028643	6.1388124215	6.4604165775	6.9456428151	7.1587207576	8.6854951928	8.6045458164	8.2509947233	7.7619035527	10.4174728083	10.5667866194	5.8712350064	6.4760170791
ENST00000621803.2	5.8964971009	5.7854040778	6.15559746	6.6205468238	6.6626754955	6.467369157	9.0341881979	9.3341749418	8.388822386	7.9566665548	9.294724123	9.5106000137	6.782447882	7.498777419
ENST00000633714.1	7.3960995354	7.1306220407	7.3029587257	7.8239340155	7.1435464806	7.3278579916	8.4878038655	8.5579346307	9.3803917967	9.0338304228	11.655593331	11.7272610535	7.756289441	8.3045338575
ENST00000631539.1	3.8573440788	4.0323212871	3.5510606817	3.7323777503	3.549139305	4.1683130918	4.2803105188	4.7145587546	4.5986212753	4.7764198721	4.312919249	4.7720651121	3.6705117954	4.396132082
ENST00000631466.1	3.258962067	2.2774551662	4.5199066837	5.3035177519	4.4534517313	4.3675108549	5.7015102445	5.9121612201	7.9273335317	7.1864213213	10.1699250014	10.1515239941	4.8417718922	5.4776352376
ENST00000632774.1	2.5461832751	2.3082327128	4.3068600788	3.6865453481	3.916161319	4.2878416392	3.9237196787	1.9445586339	5.0223411784	5.1763626696	6.5210036098	6.7738908611	3.4983402352	4.6507300994
ENST00000633698.1	4.411941402	4.853386913	4.4606115229	5.5172504931	3.5835551869	5.0034898028	3.4609260011	4.1195802837	4.5259185231	5.0048339378	3.546240084	3.9449427567	4.1899826538	5.2326492459
ENST00000626472.2	6.0951838996	6.0391010975	6.3269507407	6.7139157211	6.4380532698	6.8521986425	7.8584783904	7.9748504875	8.541181819	7.929643076	9.2662173133	9.5010748426	5.6018153497	6.4331580981
ENST00000637539.1	8.5931856759	8.6654247504	8.5698176422	9.1377801504	8.131419714	8.8825238387	7.9993123018	8.5345674658	8.7641019481	8.9460904168	8.1378006391	8.1790780574	8.431836039	9.2280658882
ENST00000390559.6	6.0951838996	6.0391010975	6.3269507407	6.7139157211	6.4380532698	6.8521986425	7.8584783904	7.9748504875	8.541181819	7.929643076	9.2662173133	9.5010748426	5.6018153497	6.4331580981
ENST00000390548.6	3.8573440788	4.0323212871	3.5510606817	3.7323777503	3.549139305	4.1683130918	4.2803105188	4.7145587546	4.5986212753	4.7764198721	4.312919249	4.7720651121	3.6705117954	4.396132082
ENST00000390549.6	3.258962067	2.2774551662	4.5199066837	5.3035177519	4.4534517313	4.3675108549	5.7015102445	5.9121612201	7.9273335317	7.1864213213	10.1699250014	10.1515239941	4.8417718922	5.4776352376
ENST00000390325.2	8.409560655	8.2618269586	7.6302307159	8.0918849188	8.2596632425	8.6143748939	7.2447919416	7.4474800161	9.4707585071	9.1393774	10.127865388	10.2713696466	7.6575113916	8.3163946799
ENST00000390323.2	8.4459542581	8.1527411587	8.7673667866	9.2939405922	8.6039193047	8.781143293	10.1167987934	10.3036095321	11.0060314778	10.5907928672	12.9176331434	12.9407356981	9.3384600717	10.0870517207
ENST00000390321.2	7.1600226605	6.8809303611	7.229011037	7.6248246932	6.8176872053	7.2450011919	8.8260431378	9.1067513618	9.1988698066	8.5991875941	10.8550864848	10.8647897212	6.3374470733	7.0383044788
ENST00000390237.2	10.3616806443	9.966029522	10.3786525046	10.882123341	10.1451042368	10.3064946609	11.490720537	11.7493331345	11.969037498	11.4401787922	13.5413023542	13.5110607848	10.1379773426	10.8661429814
ENST00000390331.3	3.243793971	1.8937893251	2.0288767529	1.8419248271	2.943949449	2.2136956641	1.1325242006	1.8149236097	2.6129280464	2.1729546836	5.5301519165	5.6937155403	1.838262012	1.5564343205
ENST00000427632.2	3.240201352	2.7446971617	3.1349174717	3.7035769408	2.4285524634	2.7115147298	2.880638512	2.9510375412	3.8891619958	3.1824237533	5.21493687	4.9601039021	3.4902877248	4.1943707711
ENST00000631379.1	3.1016198236	2.4573762821	3.5830978151	3.9663566325	2.1712612798	3.0464875678	3.8388408637	3.6816404126	4.411555052	4.4090174844	5.9825806653	6.0225031981	3.786836791	4.0613441883
ENST00000603660.1	4.6674834362	4.3334380461	2.6136848722	2.3413054999	4.2897238248	4.6430365062	5.5723531043	5.600317335	6.5590282776	5.8805998229	7.3949513703	7.3144065076	4.551466799	5.1827955704
ENST00000390594.3	3.8595521794	3.8432100466	3.514564156	3.3309742263	4.4806011947	4.8241059146	6.0667135054	6.0267403146	1.5854865847	2.4062454896	7.656439165	7.5640198894	2.8315692172	2.9039599118
ENST00000390595.3	2.8948740152	2.7515451302	3.9934117003	3.9872844797	3.0062926374	2.945489721	3.7006061734	3.6512124602	5.3998649248	5.1391338313	5.8986582174	5.6002370403	3.9869569625	4.225614275
ENST00000455737.2	3.1016198236	2.4573762821	3.5830978151	3.9663566325	2.1712612798	3.0464875678	3.8388408637	3.6816404126	4.411555052	4.4090174844	5.9825806653	6.0225031981	3.786836791	4.0613441883
ENST00000390597.3	3.4514617068	3.5854793738	3.0435457402	3.3747473864	3.3159342474	3.9723893805	4.7862408715	5.0529679289	5.5441144022	4.9938962281	6.0132701855	5.8220698237	3.2518129973	3.951755627
ENST00000493819.1	3.4802909766	3.4624711894	3.9102337715	4.1672696033	3.6620117598	3.8822126219	3.7754298709	3.8466136609	4.9303399504	4.6602954568	6.860342097	6.7761829656	3.8249409254	4.3299774764
ENST00000390609.3	6.0590869972	5.9251758033	5.6719839795	5.9851975601	5.6813115112	6.0763410326	7.3448373718	7.3880431244	8.5481283236	7.8230996956	9.7730996351	9.6907575442	6.2946189111	6.4968330104
ENST00000390601.3	3.1407819272	2.6993206407	2.3898008177	3.210842363	2.5868800103	3.0480024613	4.9071502573	4.6626156864	5.0307554055	4.413167547	7.1859557201	7.0411553523	3.1525079484	3.7272016501
ENST00000390309.2	5.6357079643	5.4353252229	5.433560405	5.9762834329	5.4825062799	5.2907671949	6.1790033903	6.5058385422	7.2757241182	6.663970752	8.4359160711	8.3206922581	4.5142927217	5.7654817051
ENST00000390308.2	4.9777241136	4.467057711	3.4655696697	4.3987539511	3.7542247789	3.9323163425	6.1700271887	6.4954921095	7.7502648158	7.2881278159	9.8065077341	9.6800605795	5.6625273921	6.2254638933
ENST00000390304.2	2.3402517642	1.4633399581	2.6965970363	3.5336380973	2.3913580552	3.168370863	1.1426160218	3.6484884523	2.6180788694	2.5590561245	7.1872926814	7.2075610249	2.6729909938	3.6134727181
ENST00000390295.3	3.7614235782	4.1022633936	3.8604463934	4.5888105622	4.6016252118	4.9741300382	6.1655482053	6.6852954437	4.785487779	4.9276831618	6.1864292452	6.0663152667	4.2384505991	4.0184472383
ENST00000390312.2	7.0524050252	6.7266268934	5.8657406931	6.5088279373	7.3629344641	7.4118668513	8.3715327266	8.6455539638	8.8819306957	8.2255545098	10.0201743597	9.9518340003	7.1709765832	7.9569685063
ENST00000390314.2	5.7273241989	5.183212559	5.6130512639	5.637952159	5.6534928754	5.6682439592	7.4290802935	7.3724646186	7.0769972583	6.6789169867	8.7675687318	8.6275010541	7.9909208342	8.1749306745
ENST00000390315.2	3.3476514844	3.4363351016	5.067019106	5.3953301944	4.4400352773	4.0848891552	4.1008935721	4.7063813577	6.7214136756	6.1689709043	7.2507247672	7.252286971	3.1028495823	4.4766797878
